"Title","URL","Resource type","Citation","Year","Number"
"Climate security and its Implication in East Asia","https://www.mdpi.com/2225-1154/10/7/104/pdf","Journal article","Sekiyama","2022","1"
"Climate Security and Its Implications for East Asia","https://www.mdpi.com/2225-1154/10/7/104/pdf","Journal","Sekiyama","2022","2"
"Agricultural technology adoption among migrant settlers and indigenous populations of the Northern Ecuadorian Amazon: are differences narrowing?","https://www.tandfonline.com/doi/full/10.1080/1747423X.2020.1719225","Journal article","Sellers and Bilsborrow","2020","1"
"Implications of Climate Change for Agriculture and Food Security in the Western Asia and Northern Africa Region. In M. V. K. Sivakumar, R. Lal, R. Selvaraju, and I. Hamdan (Eds.), Climate Change and Food Security in West Asia and North Africa","https://link.springer.com/chapter/10.1007/978-94-007-6751-5_2","Book Chapter","Selvaraju","2013","1"
"Climate change: health effects and response in South Asia","https://doi.org/10.1136/bmj.j5117","Journal","Sen","2017","1"
"Climate change impacts in Sub-Saharan Africa: from physical changes to their social repercussions","https://climateanalytics.org/media/ssa_final_published.pdf","Journal article","Serdeczny et al.","2017","1"
"Climate Change and Its Influence on Agricultural Pest in Mexico","https://www.scirp.org/html/14-4700334_52475.htm","Journal article","Servin and Mendoza","2014","1"
"LATIN AMERICAN AND CARIBBEAN FORESTRY COMMISSION","https://www.fao.org/3/cb5925en/cb5925en.pdf","FAO Report","SESSION ","2021","1"
"Accelerating Irrigation Expansion in Sub-Saharan Africa : Policy Lessons from the Global Revolution in Farmer-Led Smallholder Irrigation.","https://openknowledge.worldbank.org/handle/10986/35804","World Bank Report","Shah et al.","2020","1"
"Climate resilient rice production system: Natural resources management approach","https://doi.org/10.35709/ory.2021.58.spl.6","Journal article","Shahid et al.","2021","1"
"Climate Change and Agricultural Adaptation in South Asia","https://link.springer.com/referenceworkentry/10.1007/978-3-642-38670-1_50","Book","Shankar et al.","2014","1"
"Managing weather and climate risks to agriculture in North America, Central America and the Caribbean,
Weather and Climate Extremes,","https://www.sciencedirect.com/science/article/pii/S2212094715300384","Article","Shannon and Motha","2015","1"
"Heat Stress Effects in Fruit Crops: A Review","https://www.researchgate.net/publication/341549666_Heat_Stress_Effects_in_Fruit_Crops_A_Review
","Journal article","Sharma and Manjeet","2020","1"
"Quantitative contributions of climate change, new cultivars adoption, and management practices to yield and global warming potential in rice-winter wheat rotation ecosystems","https://doi.org/10.1016/j.agsy.2021.103087","Journal article","Shi et al.","2021","1"
"Managing vulnerability to drought and enhancing livelihood resilience in sub-Saharan Africa: Technological, institutional and policy options","https://www.sciencedirect.com/science/article/pii/S2212094714000280","Journal","Shiferaw et al.","2014","1"
"Managing vulnerability to drought and enhancing livelihood resilience in sub-Saharan Africa: Technological, institutional and policy options","https://www.sciencedirect.com/science/article/pii/S2212094714000280","Journal article","Shiferaw et al.","2014","2"
"Adoption of improved wheat varieties and impacts on household food security in Ethiopia.","https://doi.org/10.1016/j.foodpol.2013.09.012","Journal article","Shiferaw et al.","2014","3"
"Climate Change in MENA : Challenges and Opportunities for the World’s Most Water Stressed Region","https://openknowledge.worldbank.org/handle/10986/29419","Brief","Sieghart and Betre","2018","1"
"Fires Drive Long-Term Environmental Degradation in the Amazon Basin","https://www.mdpi.com/2072-4292/14/2/338#cite","Journal article","Silva et al.","2022","1"
"Africa’s first continent-wide survey of climate change literacy finds education is key","https://reliefweb.int/report/world/africa-s-first-continent-wide-survey-climate-change-literacy-finds-education-key","Article","Simpson et al.","2021","1"
"Peru, National System for Disaster Risk Management (SINAGERD), Presidency of the Council of Ministers (PCM), Secretariat for Disaster Risk Management (SGRD), Peru, National Centre for Disaster Risk Estimation, Prevention and Reduction (CENEPRED), and Peru, National Institute of Civil
Defence (INDECI)","www.preventionweb.net/files/37923_39462
planagerd201420215b15d1.pdf","Report","SINAGERD et al.","2014","1"
"Nutrient use pattern in the irrigated rice-wheat cropping system in the indo-gangetic plains of Haryana, India","https://www.researchgate.net/figure/Sample-distribution-average-land-holding-and-area-under-rice-and-wheat-crops-across_tbl1_231996200","Journal article","Singh et al.","2010","1"
"Altitudinal changes in malaria incidence in highlands of Ethiopia and Colombia.","http://faculty.jsd.claremont.edu/dmcfarlane/bio176mcfarlane/pdf%20papers/altitude%20and%20Malaria_Science-2014-Siraj-1154-8.pdf","Journal","Siraj, et al.","2014","1"
"Agriculture, livelihoods and climate change in the West African Sahel","https://link.springer.com/content/pdf/10.1007/s10113-010-0164-y.pdf","Journal article","Sissoko et al.","2010","1"
"The Impact of Climate Change on Agricultural Insect Pests","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8150874/","Journal article","Skendžić et al.","2021","1"
"Cattle ranchers and deforestation in the Brazilian Amazon: Production, location, and policies.","https://www.sciencedirect.com/science/article/pii/S0959378021000595?via%3Dihub","Journal article","Skidmore et al.","2021","1"
"Beyond Ownership: Women’s and Men’s Land Rights in Sub-Saharan Africa","https://thedocs.worldbank.org/en/doc/170131495654694482-0010022017/original/A2ABCASlavcheskaetal2016Beyondownershipworkingpaper.pdf","FAO Report","SLAVCHEVSKA et al.","2017","1"
"Responding to rising sea levels in the Mekong Delta.","https://doi.org/10.1038/nclimate2469
","Journal article","Smajgl et al ","2015","1"
"The Role of Small-Scale Farmers in Ensuring Food Security in Africa","https://www.intechopen.com/chapters/72086","Journal article","SN Hlophe-Ginindza et al.","2020","1"
"India's Second National Communication","https://unfccc.int/resource/docs/natc/indnc2.pdf","Report","SNC","2012","1"
"Hotspot Analysis on Food Loss and Waste in African Agriculture","https://sustainablefoodlab.org/wp-content/uploads/2019/12/Hotspot-Analysis-on-FLW-in-African-agriculture.pdf","Journal","Snel et al.","2018","1"
"Climate Smart Agriculture
(CSA) in Laos","https://snv.org/project/climate-smart-agriculture-lao-pdr","Project brief","SNV","2022","1"
"T he Latin America and Caribbean Advantage: Family farming","https://reliefweb.int/sites/reliefweb.int/files/resources/lac_advantage_e.pdf","IFAD Report","Soma ","2019","1"
"The negative impact of increasing temperatures on rice yields in southern China","https://www.sciencedirect.com/science/article/pii/S0048969722003539","Journal article","Song et al.","2022","1"
"Acai palm base temperatures and thermal time requirements in eastern Amazon.","https://www.researchgate.net/publication/359527005_Acai_palm_base_temperatures_and_thermal_time_requirements_in_eastern_Amazon","Journal article","Sousa et al.","2022","1"
"Conservation Agriculture in Latin America","https://www.researchgate.net/publication/271965147_Conservation_Agriculture_in_Latin_America","Journal article","Sperrati et al.","2015","1"
"Enhancing Productivity in Rice-Based Cropping
Systems. In: Plant Competition in Cropping Systems.","http://dx.doi.org/10.5772/intechopen.76904","Book","Sravan and Murthy","2018","1"
"Chapter Five - Sustainable Management of Soils of Dryland Ecosystems of India for Enhancing Agronomic Productivity and Sequestering Carbon","https://www.sciencedirect.com/science/article/abs/pii/B9780124076853000050","Book Chapter","Srinivasarao et al.","2013","1"
"Soil Health Issues for Sustainability of South Asian Agriculture","https://www.researchgate.net/publication/333433430_Soil_Health_Issues_for_Sustainability_of_South_Asian_Agriculture","Journal","Srinivasrao et al.","2019","1"
"A scoping review of interventions for crop postharvest loss reduction in sub-Saharan Africa and South Asia.","https://www.nature.com/articles/s41893-020-00622-1","Article","Stathers et al.","2020","1"
"Food security among dryland pastoralists and agropastoralists: The climate, land-use change, and population dynamics nexus","https://doi.org/10.1177%2F20530196211007512","Journal article","Stavi et al.","2021","1"
"Women's Right to Land Between Collective and Individual Dimensions. Some Insights From Sub-Saharan Africa ","https://www.frontiersin.org/articles/10.3389/fsufs.2021.690321/full","Journal of Frontiers in Sustainable Food Systems","Stefania","2021","1"
"Research and Development Towards Sustainable Agriculture by Resource-Poor Farmers in Sub-Saharan Africa: Some Strategic and Organisational Considerations in Linking Farmer Practical Needs with Policies and Scientific Theories","https://www.researchgate.net/publication/233720946_Research_and_Development_Towards_Sustainable_Agriculture_by_Resource-Poor_Farmers_in_SubSaharan_Africa_Some_Strategic_and_Organisational_Considerations_in_Linking_Farmer_Practical_Needs_with_Policies","Journal","Stoop and Hart","2006","1"
"Food security in sub-Saharan Africa: a fresh look on
agricultural mechanisation. How adapted financial
solutions can make a difference","https://www.econstor.eu/bitstream/10419/199216/1/die-study-91.pdf","Report","Ströh de Martínez et al.","2016","1"
"Climate variability impacts on rice production in the Philippines","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201426","Journal article","Stuecker et al.","2018","1"
"Analysis of Weather- and Climate-Related Disasters
in Mountain Regions Using Different Disaster Databases","https://www.geo.uzh.ch/~snus/publications/staeubli_et_al_2018.pdf","Report","Stäubli et al.","2018","1"
"Postharvest losses and mitigating technologies: evidence from Upper East Region of Ghana","https://www.sciencedirect.com/science/article/pii/S2666188821000071","Journal article","Sugri et al.","2021","1"
"Postharvest losses and mitigating technologies: evidence from Upper East Region of Ghana.","https://doi.org/10.1016/j.sftr.2021.100048","Journal","Sugri et al.","2021","2"
"Rainfall variability and its effects on growing period and grain yield for rainfed lowland rice under transplanting system in Northeast Thailand","https://doi.org/10.1080/1343943X.2019.1698970","Journal article","Sujariya et al.","2020","1"
"Teleconnections between the Peruvian central Andes and Northeast Brazil during extreme rainfall events in austral summer","http://www.atmos.albany.edu/facstaff/mathias/pubs/Sulca_et_al_2016.pdf","Report","Sulca et al.","2018","1"
"Food Security in South Asia: Issues and Opportunities","https://www.researchgate.net/publication/46476331_Food_Security_in_South_Asia_Issues_and_Opportunities","Journal","Surabhi and Deepti","2009","1"
"How productive are rice farmers in Sri Lanka? The impact of resource accessibility, seed sources and varietal diversification.","https://doi.org/10.1016/j.heliyon.2021.e07398","Journal article","Suresh et al.","2021","1"
"Crop Insurance for Adaptation to Climate Change in India.","http://eprints.lse.ac.uk/59031/1/__lse.ac.uk_storage_LIBRARY_Secondary_libfile_shared_repository_Content_Asia%20Research%20Centre%20Working%20Papers_ARCWP61-Swain.pdf","Working Paper","Swain","2014","1"
"Integrated farming systems of valley regions: Food and nutritional security","https://www.researchgate.net/publication/332229556_Integrated_farming_systems_of_valley_regions_Food_and_nutritional_security","Journal article","Swami","2019","1"
"Conflicts in Sub-Saharan Africa by intensity 2021","https://www.statista.com/statistics/262938/conflicts-in-sub-saharan-africa-by-intensity/","Journal","Szmigiera","2022","1"
"Post-harvest losses in African maize in the face of increasing food shortage","https://www.researchgate.net/publication/257788773_Post-harvest_losses_in_African_maize_in_the_face_of_increasing_food_shortage","Journal article","Tadele","2012","1"
"The outlook for oceans, seas and marine resources
in Latin America and the Caribbean: Conservation, sustainable development and
climate change mitigation","https://repositorio.cepal.org/bitstream/handle/11362/46509/4/S2000911_en.pdf","ECLAC Publication","Tambutti and Gómez (eds.)","2020","1"
"The Livestock Sector in Colombia: Toward a Program to Facilitate Large-Scale Adoption of Mitigation and Adaptation Practices.","https://www.frontiersin.org/articles/10.3389/fsufs.2019.00061/full","Journal article","Tapasco et al.","2019","1"
"Water Shortage Affects Vegetative and Reproductive Stages of Common Bean (Phaseolus vulgaris) Chilean Landraces, Differentially Impacting Grain Yield Components","https://www.mdpi.com/2223-7747/11/6/749/htm","Journal article","Tapia et al.","2022","1"
"Vulnerability of Pacific Island agriculture and forestry to climate change","https://www.researchgate.net/publication/305319291_Vulnerability_of_Pacific_Island_agriculture_and_forestry_to_climate_change","Journal article","Taylor et al.","2016","1"
"Maize systems under climate change in sub-Saharan Africa: Potential impacts on production and food security","https://doi.org/10.1108/IJCCSM-01-2014-0005","Journal article","Tesfaye et al.","2015","1"
"Climate change perception and choice of adaptation strategies: Empirical evidence from smallholder farmers in east Ethiopia","https://doi.org/10.1108/IJCCSM-01-2014-0017","Journal article","Tesfaye et al.","2016","1"
"Agriculture – Pathways to Prosperity in Asia and the Pacific","https://www.ifad.org/documents/38714170/39135645/pathways.pdf/d87b6f4d-88cb-4c84-8b7e-6a645d0f5ea0","IFAD Report","Thapa and Gaiha","2011","1"
"IFAD’s experience in scaling up in Asia and the Pacific region","https://un.org.np/sites/default/files/doc_publication/2018-10/OP18_web.pdf","IFAD Report","Thapa and Hessel","2016","1"
"ThinkHazard","https://thinkhazard.org/en/report/195-peru/LS","Website","ThinkHazard","2021","1"
"Climate Change and Agriculture in Central America
and the Andean Region","https://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/132953/filename/133157.pdf","Project note","Thomas et al.","2018","1"
"Structural adjustment programmes adversely affect vulnerable populations: a systematic-narrative review of their effect on child and maternal health.","https://publichealthreviews.biomedcentral.com/articles/10.1186/s40985-017-0059-2","Journal","Thomson et al.","2017","1"
"The impacts of climate change on livestock and livestock systems in developing countries: a review of what we know and what we need to know.","https://doi.org/10.1016/j.agsy.2009.05.002","Journal article","Thornton et al.","2009","1"
"The impacts of climate change on livestock and livestock systems in developing countries: a review of what we know and what we need to know.","https://ideas.repec.org/a/eee/agisys/v101y2009i3p113-127.html","Journal article","Thornton et al.","2009","2"
"Increases in extreme heat stress in domesticated livestock species during the twenty-first century.","https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.15825","Journal article","Thornton et al.","2021","1"
"Future warming increases probability of globally synchronized maize production shocks","https://www.pnas.org/doi/10.1073/pnas.1718031115","Report","Tigchelaar et al.","2018","1"
"Tackling irrigation poverty traps in South Asia","https://blog.policy.manchester.ac.uk/posts/2020/03/tackling-irrigation-poverty-traps-in-south-asia/","Report","Tim and Roshan","2020","1"
"Role and use of economic incentives in irrigated agriculture","http://web.worldbank.org/archive/website00667/WEB/PDF/ROLEAN-3.PDF","Report","Tiwari and Dinar","2001","1"
"Horticulture Plantation crops; Cocoa","https://agritech.tnau.ac.in/horticulture/horti_plantation%20crops_cocoa.html","Website","TNAU Agritech portal","2013","1"
"Trends and Drivers of Change of Pastoral Beef
Production Systems in a Mediterranean-Temperate
Climate Zone of Chile","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941165/","Journal article","Toro-Mujica et al.","2019","1"
"Floods in Southeast Asia: A health priority","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3529313/","Journal","Torti","2012","1"
"Assessing risks from climate variability and change
for disaster-prone zones in Bangladesh.","https://www.sciencedirect.com/science/article/abs/pii/S2212420914000703?via%3Dihub","Journal article","Toufique et al.","2014","1"
"An investment plan for low-emission rice production in the Mekong River Delta region in support of Vietnam's Nationally Determined Contribution to the Paris Agreement.","https://hdl.handle.net/10568/101315","Working paper","Tran et al.","2019","1"
"Vulnerability of acai palm to climate change.","https://link.springer.com/article/10.1007/s10745-020-00172-2","Journal article","Tregidgo et al.","2020","1"
"Adaptation Strategies in the Valley of the Senegal River: A Social Approach to Dealing with Climate Change in Senegal","https://link.springer.com/chapter/10.1007/978-3-319-31392-4_12","Journal article","Tremblay","2016","1"
"High Andean forests: Bolivia, Ecuador, Peru","https://trilliontrees.org/project/andean-forests/","Website","Trillion Trees",,"1"
"Shifting Crop Planting Calendar as a Climate Change Adaptation Solution.","https://www.scielo.cl/scielo.php?pid=s0718-58392020000400468&script=sci-arttext-plus&tlng=en","Article","Truong An","2020","1"
"Views from the vulnerable: Understanding climatic and other stressors in the Sahel","https://doi.org/10.1016/j.gloenvcha.2006.11.008","Journal article","Tschakert","2007","1"
"Assessment of land degradation and its impact on crop production in the Dry Zone of Myanmar","https://doi.org/10.1080/13504509.2015.1091046","Journal article","Tun et al.","2015","1"
"Conflict Management, Decentralization and Agropastoralism in Dryland West Africa","https://doi.org/10.1016/j.worlddev.2011.09.017","Journal article","Turner et al.","2012","1"
"Climate Change Impacts on Agriculture and Food Supply.","www.epa.gov","UEPA Report","UEPA","2017","1"
"Agricultural Innovation and Sustainable Development: A Case Study of Rice–Wheat Cropping Systems in South Asia","https://www.mdpi.com/2071-1050/13/4/1965","Journal article","Ullah et al.","2021","1"
"Women, Gender Equality and Climate Change","https://www.un.org/womenwatch/feature/climate_change/downloads/Women_and_Climate_Change_Factsheet.pdf","UN Report","UN","2009","1"
"Prospects for Poverty Reduction in Asia and Pacific: Progress, Opportunities and Challenges , Especially in Countries withsecial needs.","https://www.unescap.org/sites/default/d8files/event-documents/E-ESCA-2-1.PDF","UN Report","UN","2017","1"
"Climate Change Is an Increasing Threat to Africa.","https://unfccc.int/news/climate-change-is-an-increasing-threat-to-africa","UN Report","UN","2020","1"
"Hunger in Latin America and the Caribbean.","https://www.paho.org/en/news/30-11-2021-new-report-hunger-latin-america-and-caribbean-rose-138million-people-just-one-year","UN Report","UN","2020","2"
"The Africa Water Vision for 2025: Equitable and Sustainable Use of Water for Socioeconomic Development","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/african%20water%20vision%202025%20to%20be%20sent%20to%20wwf5.pdf","Report","UN","2020","3"
"Coffee, environmental degradation and smallholder livelihoods","https://www.unep.org/resources/newsletter/coffee-environmental-degradation-and-smallholder-livelihoods","UN Report","UN","2021","1"
"Extreme Poverty in the Region Rises to 86 Million in 2021 due to the Deepening of the Social and Health Crisis Prompted by the COVID-19 Pandemic.","https://www.cepal.org/en/pressreleases/extreme-poverty-region-rises-86-million-2021-due-deepening-social-and-health-crisis","UN Report","UN","2022","1"
"Migration Dynamics, Refugees and Internally Displaced Persons in Africa","https://www.un.org/en/academic-impact/migration-dynamics-refugees-and-internally-displaced-persons-africa","Report","UN","2022","3"
,"https://www.unep.org/news-and-stories/press-release/number-wildfires-rise-50-2100-and-governments-are-not-prepared","Report","UN","2022","4"
"Spreading like Wildfire: The Rising Threat of Extraordinary Landscape Fires","https://www.unep.org/resources/report/spreading-wildfire-rising-threat-extraordinary-landscape-fires","UN Report","UN","2022","2"
"Desertification worldwide, Desertification worldwide, Land Degradation in Asia and the Pacific and Land Degradation in Asia and the Pacific and Causes of desertification","https://www.sprep.org/attachments/UNDP-GSUworkshopSRAP-NAP.pdf","Report","UNCCD","2007","1"
"Key Development Challenges of a Fundamental Transformation of Agriculture","https://unctad.org/system/files/official-document/ditcted2012d3_ch1_en.pdf","Trade andEnvironment Review","UNCTAD","2013","1"
"Economic Development in Africa Report 2021: Reaping the potential benefits of the African Continental Free Trade Area for inclusive
 growth","https://unctad.org/press-material/facts-and-figures-7","UNCTAD Report","UNCTAD","2021","1"
"Human development indices and indicators: 2018 statistical update. Briefing note for countries on the 2018 statistical update – Peru. New York.","https://hdr.undp.org/sites/default/files/2018_human_development_statistical_update.pdf","Report","UNDP","2018","1"
"Latin America and the Caribbean: Climate Vulnerability","https://www.adaptation-undp.org/explore/caribbean","UNDP publication","UNDP, n.d","2010","1"
"State of Biodiversity in Latin America and the Caribbean
","https://www.cbd.int/gbo/gbo3/doc/StateOfBiodiversity-LatinAmerica.pdf","UNEP publication","UNEP","2010","1"
"Global Adaptation Network(GAN)-UNEP","https://www.unep.org/gan/networks-partners","UNEP Report","UNEP","2010","2"
"Major new project to enhance early warning systems for increased climate resilience in Timor-Leste.","https://www.unep.org/news-and-stories/press-release/major-new-project-enhance-early-warning-systems-increased-climate","UNEP Report","UNEP","2021","1"
"In South Asia, record heat threatens future of farming","https://www.unep.org/news-and-stories/story/south-asia-record-heat-threatens-future-farming","Report","UNEP","2022","1"
"Our Work in Afria/UNEP: UN Environmental Programme","https://www.unep.org/regions/africa/our-work-africa","UNEP Report","UNEP","2022","2"
"Our work in Africa","https://www.unep.org/regions/africa/our-work-africa","Report","UNEP","2022","3"
"Education for rural people in Africa","https://unesdoc.unesco.org/ark:/48223/pf0000150256","Report","UNESCO","2006","1"
"UNESCO and gender equality in Sub-Saharan Africa: innovative programmes, visible results","https://unesdoc.unesco.org/ark:/48223/pf0000259590","Book chapter","UNESCO","2017","1"
"Climate Change Is an Increasing Threat to Africa","https://unfccc.int/news/climate-change-is-an-increasing-threat-to-africa","Article","UNFCCC","2020","1"
"Adaptation to climate change among agropastoral systems: case for Zimbabwe","DOI:10.1088/1755-1307/6/41/412045","Journal article","Unganai","2009","1"
"Climate Risk Profile: Sahel*","https://www.unhcr.org/61a49df44.pdf","Report","UNHCR","2022","1"
"Malnutrition rises in Africa despite global decline","https://www.scidev.net/sub-saharan-africa/news/malnutrition-rises-in-africa-despite-global-decline/","UNICEF Report","UNICEF","2019","1"
"Adaptation and mitigation in the Kenyan tea industry","https://open.unido.org/api/documents/5239228/download/2.Value%20chain%20vulnerability-Kenya%20country%20report.pdf","Report","UNIDO","2017","1"
"ARAB CLIMATE CHANGE
ASSESSMENT REPORT","https://www.unescwa.org/publications/riccar-arab-climate-change-assessment-report","Report","United Nations Economic and Social Commission for Western Asia (ESCWA) et al. 2017","2017","1"
"Climate Adaptation and Saltwater Intrusion","https://www.epa.gov/arc-x/climate-adaptation-and-saltwater-intrusion","Publication","United States Environmental Protection Agency","2021","1"
"Impacts of climate change on water resources in Africa: the role of adaptation","https://www.researchgate.net/publication/267218899_Impacts_of_climate_change_on_water_resources_in_Africa_the_role_of_adaptation","Journal article","Urama and Ozor","2010","1"
"US Resilience Climate Toolkit: Coastal erosion","https://toolkit.climate.gov/topics/coastal-flood-risk/coastal-erosion#:~:text=As%20global%20sea%20level%20rises,structures%20and%20loss%20of%20land.","Web publication","US Resilience Climate Toolkit","2021","1"
"Follow the Water: Emerging Issues of Climate Change and Conflict in Peru","https://pdf.usaid.gov/pdf_docs/PNAEC328.pdf","Report","USAID","2012","1"
"Climate Change Adaptation in Senegal","https://www.climatelinks.org/sites/default/files/asset/document/senegal_adaptation_fact_sheet_jan2012.pdf","Fact sheet","USAID","2012","2"
"Climate Change Adaptation in SENEGAL","https://www.climatelinks.org/sites/default/files/asset/document/senegal_adaptation_fact_sheet_jan2012.pdf","Fact sheet","USAID","2012","3"
"MIDDLE EAST AND NORTH AFRICA TRADE BARRIERS – A SYNTHESIS MENA REGIONAL TRADE CAPACITY BUILDING PILOT ACTIVITY","https://pdf.usaid.gov/pdf_docs/PA00N1Q6.pdf","Publication","USAID","2013","1"
"Climate change risk profile: Zambia","https://www.climatelinks.org/sites/default/files/asset/document/2016%20CRM%20Fact%20Sheet%20-%20Zambia.pdf","Report","USAID","2016","1"
"Climate Change Risk Profile Peru","https://www.climatelinks.org/sites/default/files/asset/document/2017_Climate%20Change%20Risk%20Profile_Peru.pdf","USAID Climate Risk Profile Report","USAID","2017","1"
"Climate Risk Profile India","https://www.climatelinks.org/sites/default/files/asset/document/2017_USAID%20ATLAS_Climate%20Risk%20Profile%20-%20India.pdf","Fact Sheet","USAID","2017","2"
"Climate change risk profile","https://www.climatelinks.org/sites/default/files/asset/document/2017_USAID%20ATLAS_Climate%20Change%20Risk%20Profile%20-%20Senegal.pdf","Fact sheet","USAID","2017","3"
"Climate risk profile: Kenya","https://www.climatelinks.org/sites/default/files/asset/document/2018_USAID-ATLAS-Project_Climate-Risk-Profile-Kenya.pdf","Factsheet","USAID","2017","4"
"Climate change risk profile Ghana","https://www.climatelinks.org/sites/default/files/asset/document/2017_USAID_Climate%20Change%20Risk%20Profile%20-%20Ghana.pdf","Fact sheet","USAID","2017","5"
"Climate risk profile: Amazon Basin.","https://www.climatelinks.org/resources/climate-risk-profile-amazon-basin","Factsheet","USAID","2018","1"
"Bureau for Humanitarian Assistance: East Asia and the Pacific - Early Recovery, Risk Reduction, and Resilience, Fiscal Year (FY) 2021.","https://reliefweb.int/report/world/bureau-humanitarian-assistance-east-asia-and-pacific-early-recovery-risk-reduction","USAID Report","USAID","2021","1"
"Latin America, Caribbean and Canada Program","https://www.fs.usda.gov/about-agency/international-programs/where-we-work/latin-america-caribbean-canada","Forest service, US Department of Ariculture publication","USDA","2021","1"
"A Climate Trend Analysis of Senegal","https://pubs.usgs.gov/fs/2012/3123/FS12-3123.pdf","Fact sheet","USGS and USAID","2012","1"
"Soil degradation in Sub-Saharan Africa: Challenges and opportunities for restoration","https://www.researchgate.net/publication/335432827_Soil_degradation_in_Sub-Saharan_Africa_Challenges_and_opportunities_for_restoration","Journal article","Ussiri and Lal","2019","1"
"Soil degradation in Sub-Saharan Africa: Challenges and opportunities for restoration","https://www.researchgate.net/publication/335432827_Soil_degradation_in_Sub-Saharan_Africa_Challenges_and_opportunities_for_restoration","Journal","Ussiri and Lal","2019","2"
"Farming systems and food security: Priorities for science and policy under global change","https://pure.iiasa.ac.at/15771/1/The%20African%20Farming%20Systems.pdf","Report","van Velthuizen et al.","2013","1"
"Dealing with the Coffee Crisis in Central America:Impacts and Strategies","https://documents1.worldbank.org/curated/en/828021468770134855/125525322_20041117143053/additional/multi0page.pdf","World Bank Report","Varangis et al.","2003","1"
"Agriculture and Future Climate in Latin America and the Caribbean: Systemic Impacts and Potential Responses","https://www.researchgate.net/publication/265368765_Agriculture_and_Future_Climate_in_Latin_America_and_the_Caribbean_Systemic_Impacts_and_Potential_Responses","Book","Vergara et al.","2014","1"
"Climate risk assessment and agricultural value chain prioritisation for Malawi and Zambia","https://cgspace.cgiar.org/handle/10568/96184","Report","Verhage et al.","2018","1"
"Adaptation to a changing climate in the Arab countries : a case for adaptation governance and leadership in building climate resilience","https://openknowledge.worldbank.org/bitstream/handle/10986/12216/734820PUB0REVI000PUBDATE01101602012.pdf?sequence=7&isAllowed=y","Book","Verner","2012","1"
"Effects of Climate Change on Agriculture in Guatemala and Honduras","https://www.american.edu/cas/economics/ejournal/upload/waddick_accessible.pdf","Journal article","Waddick","2017","1"
"Climate change impacts in the Middle East and Northern Africa (MENA) region and their implications for vulnerable population groups.","https://link.springer.com/article/10.1007/s10113-017-1144-2","Journal article","Waha et al.","2017","1"
"Climate change impacts in the Middle East and Northern Africa (MENA) region and their implications for vulnerable population groups","https://link.springer.com/article/10.1007/s10113-017-1144-2","Article","Waha et al.","2017","2"
"Asparagus Production in New Mexico","https://pubs.nmsu.edu/_h/H227/index.html#:~:text=The%20New%20Mexico%20asparagus%20harvest,a%20special%20long%2Dhandle%20knife.
","Journal article","Walker","2009","1"
"Climate change impacts and forest adaptation in the Asia–Pacific region: from regional experts’ perspectives.","http://www.springerlink.com/","Journal","Wang et al.","2019","1"
"Adjusting Cropping Calendars of Rice-based Systems to Mitigate Heat Stress Under Climate Change in South Asia","https://pure.iiasa.ac.at/id/eprint/16941/1/Report_%20Xiaobo%20Wang.pdf","Report","Wang","2020","1"
"CLIMATE CHANGE IN SOUTHERN AFRICA","https://executiveboard.wfp.org/document_download/WFP-0000129015","Report","WFP","2021","1"
"Water scarcity in Africa","https://en.wikipedia.org/wiki/Water_scarcity_in_Africa","Article","Wikipedia","2020","1"
"Satellite based early‐warning system for South Asia drought risk reduction","https://public.wmo.int/en/media/news/satellite-based-early%E2%80%90warning-system-south-asia-drought-risk-reduction","Report","WMO","2017","1"
"State of the Climate in Latin America and the Caribbean 2020","https://reliefweb.int/sites/reliefweb.int/files/resources/1272_Statement_LAC_en_big.pdf","Report","WMO","2020","1"
"State of the Climate in Africa","https://library.wmo.int/index.php?lvl=notice_display&id=21778#.X5giydPsYiR","Report","WMO","2020","2"
"State of the Climate in Latin America and the Caribbean.","https://reliefweb.int/organization/wmo","WMO Report","WMO","2020","3"
"Climate change triggers mounting food insecurity, poverty and displacement in Africa","https://public.wmo.int/en/media/press-release/climate-change-triggers-mounting-food-insecurity-poverty-and-displacement-africa","Report","WMO","2021","1"
"Climate change increasing threats in southwest Pacific: WMO report","https://news.un.org/en/story/2021/11/1105482","UN Report","WMO","2021","2"
"State of Climate in Africa highlights water stress and hazards","https://public.wmo.int/en/media/press-release/state-of-climate-africa-highlights-water-stress-and-hazards","Report","WMO","2022","1"
"Foot and mouth disease","https://www.woah.org/en/disease/foot-and-mouth-disease/","Report","WOAH","2022","1"
"Climate-Smart Agriculture in Mexico. CSA Country Profiles for Latin America Series","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://assets.publishing.service.gov.uk/media/57a089dde5274a31e00002da/CSA-in-Mexico.pdf","Report","World Bank et al.","2014","1"
